nis,t
0,1477010443000000
0.210344,1477010443100000
0.567776,1477010443200000
0.328553,1477010443300000
0.159034,1477010443400000
0.700437,1477010443500000
2.96694,1477010443600000
0.263762,1477010443700000
10.9727,1477010443800000
3.20388,1477010443900000
1.97027,1477010444000000
3.74559,1477010444100000
0.180289,1477010444200000
2.65179,1477010444300000
0.498107,1477010444400000
0.29896,1477010444500000
0.618013,1477010444600000
0.604877,1477010444700000
2.72596,1477010444800000
0.969396,1477010444900000
1.62952,1477010445000000
2.31983,1477010445100000
0.320885,1477010445200000
0.830876,1477010445300000
3.09867,1477010445400000
2.27885,1477010445500000
0.941053,1477010445600000
0.395,1477010445700000
2.49988,1477010445800000
0.769436,1477010445900000
0.370184,1477010446000000
0.355216,1477010446100000
0.221374,1477010446200000
0.501974,1477010446300000
0.344022,1477010446400000
0.220347,1477010446500000
1.96647,1477010446600000
0.888139,1477010446700000
0.538064,1477010446800000
1.94605,1477010446900000
3.77261,1477010447000000
1.50597,1477010447100000
1.27284,1477010447200000
3.37599,1477010447300000
3.95224,1477010447400000
3.20956,1477010447500000
0.971971,1477010447600000
1.02925,1477010447700000
2.1275,1477010447800000
0.0187271,1477010447900000
5.29884,1477010448000000
0.94959,1477010448100000
2.15378,1477010448200000
0.980957,1477010448300000
1.40781,1477010448400000
0.354758,1477010448500000
1.0201,1477010448600000
2.30609,1477010448700000
3.68524,1477010448800000
0.0453036,1477010448900000
0.526766,1477010449000000
0.248693,1477010449100000
2.01911,1477010449200000
3.81028,1477010449300000
0.891953,1477010449400000
1.03887,1477010449500000
0.563169,1477010449600000
0.264438,1477010449700000
2.79836,1477010449800000
0.858088,1477010449900000
0.752172,1477010450000000
1.22651,1477010450100000
1.82004,1477010450200000
0.574006,1477010450300000
0.711721,1477010450400000
1.57457,1477010450500000
0.153242,1477010450600000
2.0751,1477010450700000
0.162524,1477010450800000
1.79096,1477010450900000
0.673285,1477010451000000
0.443576,1477010451100000
3.5655,1477010451200000
1.6101,1477010451300000
0.870054,1477010451400000
2.42874,1477010451500000
2.87212,1477010451600000
0.109469,1477010451700000
3.04124,1477010451800000
0.368666,1477010451900000
0.139872,1477010452000000
0.419718,1477010452100000
1.83999,1477010452200000
1.95995,1477010452300000
0.761414,1477010452400000
1.10162,1477010452500000
1.69844,1477010452600000
2.95649,1477010452700000
1.17358,1477010452800000
6.16873,1477010452900000
0.0680199,1477010453000000
0.511898,1477010453100000
2.25715,1477010453200000
1.49381,1477010453300000
0.674023,1477010453400000
1.89486,1477010453500000
0.818909,1477010453600000
0.611792,1477010453700000
4.0308,1477010453800000
1.32481,1477010453900000
3.48088,1477010454000000
0.403573,1477010454100000
0.505322,1477010454200000
3.77947,1477010454300000
1.61002,1477010454400000
0.674895,1477010454500000
2.03761,1477010454600000
0.904852,1477010454700000
3.98737,1477010454800000
0.0778179,1477010454900000
1.05286,1477010455000000
0.612298,1477010455100000
0.250415,1477010455200000
2.58146,1477010455300000
0.307562,1477010455400000
1.82022,1477010455500000
0.599189,1477010455600000
2.04342,1477010455700000
2.15769,1477010455800000
0.849183,1477010455900000
0.0163711,1477010456000000
1.31619,1477010456100000
0.560388,1477010456200000
1.40316,1477010456300000
5.26654,1477010456400000
3.99151,1477010456500000
1.59608,1477010456600000
1.61621,1477010456700000
2.23379,1477010456800000
1.8688,1477010456900000
0.939137,1477010457000000
0.626744,1477010457100000
0.32996,1477010457200000
2.85371,1477010457300000
1.36973,1477010457400000
4.5092,1477010457500000
0.611215,1477010457600000
1.27819,1477010457700000
0.281897,1477010457800000
1.82965,1477010457900000
0.0915797,1477010458000000
4.10847,1477010458100000
0.720903,1477010458200000
0.647292,1477010458300000
3.73959,1477010458400000
3.48836,1477010458500000
3.27392,1477010458600000
2.80959,1477010458700000
0.402101,1477010458800000
1.51669,1477010458900000
4.12232,1477010459000000
1.52761,1477010459100000
1.4116,1477010459200000
0.938799,1477010459300000
1.67296,1477010459400000
5.4697,1477010459500000
2.15616,1477010459600000
0.458296,1477010459700000
1.43822,1477010459800000
0.507818,1477010459900000
0.165694,1477010460000000
2.26142,1477010460100000
0.264505,1477010460200000
3.08088,1477010460300000
1.14518,1477010460400000
14.744,1477010460500000
0.787892,1477010460600000
1.13965,1477010460700000
1.37034,1477010460800000
0.0895106,1477010460900000
1.40401,1477010461000000
6.15759,1477010461100000
2.20755,1477010461200000
0.696282,1477010461300000
2.21567,1477010461400000
3.00045,1477010461500000
5.29443,1477010461600000
2.81687,1477010461700000
0.390673,1477010461800000
0.600536,1477010461900000
0.544922,1477010462000000
0.564309,1477010462100000
1.85758,1477010462200000
4.17965,1477010462300000
1.38356,1477010462400000
5.9732,1477010462500000
1.14355,1477010462600000
1.1457,1477010462700000
0.0104369,1477010462800000
0.637909,1477010462900000
2.63222,1477010463000000
1.5426,1477010463100000
2.77943,1477010463200000
0.164862,1477010463300000
0.511445,1477010463400000
0.875473,1477010463500000
0.107613,1477010463600000
1.42026,1477010463700000
0.301244,1477010463800000
3.74305,1477010463900000
2.0766,1477010464000000
0.409016,1477010464100000
0.960986,1477010464200000
1.19892,1477010464300000
0.0312979,1477010464400000
0.0713013,1477010464500000
4.31076,1477010464600000
0.982521,1477010464700000
0.300438,1477010464800000
2.09849,1477010464900000
0.0402317,1477010465000000
4.69097,1477010465100000
2.91416,1477010465200000
1.29565,1477010465300000
0.591009,1477010465400000
0.761846,1477010465500000
6.12963,1477010465600000
0.695872,1477010465700000
2.96546,1477010465800000
0.758159,1477010465900000
0.83081,1477010466000000
1.06909,1477010466100000
1.17624,1477010466200000
2.11286,1477010466300000
0.226502,1477010466400000
2.14004,1477010466500000
7.6964,1477010466600000
0.736869,1477010466700000
3.72924,1477010466800000
2.23169,1477010466900000
1.89998,1477010467000000
0.839042,1477010467100000
2.70879,1477010467200000
1.00869,1477010467300000
2.0052,1477010467400000
0.676708,1477010467500000
0.98687,1477010467600000
4.76855,1477010467700000
5.71654,1477010467800000
0.633998,1477010467900000
