nis,t
0.791284,1477010443050000
1.70572,1477010443150000
0.730913,1477010443250000
2.58176,1477010443350000
0.38648,1477010443450000
2.20231,1477010443550000
3.91855,1477010443650000
1.44529,1477010443750000
1.46203,1477010443850000
1.7627,1477010443950000
3.46042,1477010444050000
0.418725,1477010444150000
2.5447,1477010444250000
4.98216,1477010444350000
2.29348,1477010444450000
6.88114,1477010444550000
6.85235,1477010444650000
4.36105,1477010444750000
4.53397,1477010444850000
3.39273,1477010444950000
2.3508,1477010445050000
0.794987,1477010445150000
1.43785,1477010445250000
0.905282,1477010445350000
3.11597,1477010445450000
10.4847,1477010445550000
0.134724,1477010445650000
1.60524,1477010445750000
3.52091,1477010445850000
2.40761,1477010445950000
1.13822,1477010446050000
1.65909,1477010446150000
0.710818,1477010446250000
3.81613,1477010446350000
1.70144,1477010446450000
3.07275,1477010446550000
0.712137,1477010446650000
0.77395,1477010446750000
0.202347,1477010446850000
0.784354,1477010446950000
3.89441,1477010447050000
0.300606,1477010447150000
2.2186,1477010447250000
0.494875,1477010447350000
1.0511,1477010447450000
2.46118,1477010447550000
7.36433,1477010447650000
2.54679,1477010447750000
4.91581,1477010447850000
9.39445,1477010447950000
4.28201,1477010448050000
2.67058,1477010448150000
2.14112,1477010448250000
1.35074,1477010448350000
0.766523,1477010448450000
1.34616,1477010448550000
3.42778,1477010448650000
7.45634,1477010448750000
1.39487,1477010448850000
1.92691,1477010448950000
0.248758,1477010449050000
6.29245,1477010449150000
6.20188,1477010449250000
1.86041,1477010449350000
2.42832,1477010449450000
6.44468,1477010449550000
1.90126,1477010449650000
2.95126,1477010449750000
3.26665,1477010449850000
10.1013,1477010449950000
3.20648,1477010450050000
5.50679,1477010450150000
2.28682,1477010450250000
1.27618,1477010450350000
0.27419,1477010450450000
1.92505,1477010450550000
1.94893,1477010450650000
2.55022,1477010450750000
0.90942,1477010450850000
1.04904,1477010450950000
4.0746,1477010451050000
5.7626,1477010451150000
0.996904,1477010451250000
1.74626,1477010451350000
1.51658,1477010451450000
4.5709,1477010451550000
0.169519,1477010451650000
3.52209,1477010451750000
0.214629,1477010451850000
0.491668,1477010451950000
2.91773,1477010452050000
1.85532,1477010452150000
1.80104,1477010452250000
4.75655,1477010452350000
1.4827,1477010452450000
1.2977,1477010452550000
7.0731,1477010452650000
3.46617,1477010452750000
2.30206,1477010452850000
2.83022,1477010452950000
2.31233,1477010453050000
4.8289,1477010453150000
0.806382,1477010453250000
2.35141,1477010453350000
0.896126,1477010453450000
2.31775,1477010453550000
1.99289,1477010453650000
2.70253,1477010453750000
0.69368,1477010453850000
1.38385,1477010453950000
3.48722,1477010454050000
3.61266,1477010454150000
2.63765,1477010454250000
2.19865,1477010454350000
2.00983,1477010454450000
1.53148,1477010454550000
0.543143,1477010454650000
2.4135,1477010454750000
1.92167,1477010454850000
2.53498,1477010454950000
5.54729,1477010455050000
4.96005,1477010455150000
1.98467,1477010455250000
3.64787,1477010455350000
3.59323,1477010455450000
1.97058,1477010455550000
0.413415,1477010455650000
1.87608,1477010455750000
1.50883,1477010455850000
4.02614,1477010455950000
0.567271,1477010456050000
0.296947,1477010456150000
3.76713,1477010456250000
0.242927,1477010456350000
1.24286,1477010456450000
5.39459,1477010456550000
5.80735,1477010456650000
3.52215,1477010456750000
5.24924,1477010456850000
3.03267,1477010456950000
3.40398,1477010457050000
3.03538,1477010457150000
0.922689,1477010457250000
0.370347,1477010457350000
4.48336,1477010457450000
0.449092,1477010457550000
0.428372,1477010457650000
2.319,1477010457750000
3.47754,1477010457850000
0.258109,1477010457950000
5.56958,1477010458050000
1.05565,1477010458150000
7.17628,1477010458250000
0.904542,1477010458350000
1.67133,1477010458450000
1.28014,1477010458550000
1.6698,1477010458650000
1.39413,1477010458750000
2.85987,1477010458850000
1.40794,1477010458950000
2.74921,1477010459050000
3.2192,1477010459150000
2.98569,1477010459250000
0.342067,1477010459350000
4.56854,1477010459450000
2.13399,1477010459550000
2.22277,1477010459650000
4.99492,1477010459750000
8.06625,1477010459850000
1.66838,1477010459950000
0.565078,1477010460050000
1.73571,1477010460150000
3.91041,1477010460250000
1.02991,1477010460350000
4.85002,1477010460450000
1.54386,1477010460550000
2.53221,1477010460650000
1.96531,1477010460750000
6.2553,1477010460850000
2.17979,1477010460950000
0.781879,1477010461050000
3.08245,1477010461150000
2.13198,1477010461250000
0.939133,1477010461350000
1.93291,1477010461450000
3.45699,1477010461550000
0.298678,1477010461650000
1.83259,1477010461750000
1.27336,1477010461850000
6.06978,1477010461950000
0.1231,1477010462050000
11.467,1477010462150000
3.22969,1477010462250000
0.185744,1477010462350000
1.7262,1477010462450000
1.24221,1477010462550000
2.03919,1477010462650000
1.62404,1477010462750000
5.16947,1477010462850000
2.27361,1477010462950000
2.74872,1477010463050000
1.81136,1477010463150000
6.61408,1477010463250000
8.28469,1477010463350000
0.406457,1477010463450000
0.534334,1477010463550000
3.16807,1477010463650000
2.10352,1477010463750000
1.14174,1477010463850000
0.590762,1477010463950000
9.02603,1477010464050000
2.32169,1477010464150000
0.835922,1477010464250000
3.06689,1477010464350000
4.83775,1477010464450000
1.56938,1477010464550000
5.49792,1477010464650000
1.71186,1477010464750000
2.57126,1477010464850000
5.63474,1477010464950000
1.55792,1477010465050000
5.69247,1477010465150000
4.8444,1477010465250000
1.37949,1477010465350000
0.883033,1477010465450000
4.68084,1477010465550000
1.71967,1477010465650000
5.74511,1477010465750000
2.93658,1477010465850000
0.392385,1477010465950000
0.0418697,1477010466050000
0.463347,1477010466150000
0.26592,1477010466250000
7.51073,1477010466350000
6.6865,1477010466450000
0.566961,1477010466550000
1.61647,1477010466650000
0.279955,1477010466750000
1.17706,1477010466850000
0.376658,1477010466950000
2.71631,1477010467050000
9.47979,1477010467150000
0.279701,1477010467250000
6.82376,1477010467350000
3.92469,1477010467450000
2.56196,1477010467550000
6.43398,1477010467650000
1.4097,1477010467750000
1.81296,1477010467850000
